AFGHANISTAN;Z404
ALBANIA;Z100
ALGERIA;Z301
ANDORRA;Z206
ANGOLA;Z302
ARGENTINA;Z400
ARMENIA;Z103
AUSTRALIA;Z507
AUSTRIA;Z106
AZERBAIGIAN;Z104
BAHAMAS;Z408
BAHRAIN;Z409
BANGLADESH;Z410
BELGIO;Z113
BELIZE;Z414
BENIN;Z305
BIELORUSSIA;Z116
BOLIVIA;Z418
BOSNIA ERZEGOVINA;Z117
BOTSWANA;Z319
BRASILE;Z420
BULGARIA;Z119
BURKINA FASO;Z318
CAMBOGIA;Z421
CAMERUN;Z322
CANADA;Z504
CINA;Z209
CIPRO;Z130
COLOMBIA;Z427
COREA DEL NORD;Z135
COREA DEL SUD;Z136
COSTA RICA;Z429
CROAZIA;Z143
CUBA;Z431
DANIMARCA;Z144
ECUADOR;Z433
EGITTO;Z334
EMIRATI ARABI UNITI;Z336
ESTONIA;Z146
ETIOPIA;Z338
FILIPPINE;Z441
FINLANDIA;Z150
FRANCIA;Z151
GERMANIA;Z154
GIAPPONE;Z207
GRECIA;Z158
INDIA;Z444
INDONESIA;Z445
IRAN;Z447
IRAQ;Z448
IRLANDA;Z160
ISLANDA;Z159
ISRAELE;Z162
KAZAKISTAN;Z167
KENYA;Z351
LETTONIA;Z169
LIBANO;Z356
LIBIA;Z357
LITUANIA;Z170
LUSSEMBURGO;Z171
MACEDONIA;Z172
MADAGASCAR;Z359
MALAYSIA;Z472
MALTA;Z173
MESSICO;Z477
MOLDAVIA;Z176
MONACO;Z177
MONTENEGRO;Z178
MOZAMBICO;Z379
NEPAL;Z483
NORVEGIA;Z180
NUOVA ZELANDA;Z508
PAESI BASSI;Z126
PAKISTAN;Z489
PARAGUAY;Z494
PER̪;Z495
POLONIA;Z184
PORTOGALLO;Z185
REGNO UNITO;Z188
REPUBBLICA CECA;Z182
ROMANIA;Z189
RUSSIA;Z191
SAN MARINO;Z200
SENEGAL;Z394
SERBIA;Z201
SINGAPORE;Z502
SLOVACCHIA;Z203
SLOVENIA;Z204
SPAGNA;Z205
STATI UNITI;Z404
SUDAFRICA;Z407
SVEZIA;Z208
SVIZZERA;Z209
THAILANDIA;Z509
TURCHIA;Z214
UCRAINA;Z216
UNGHERIA;Z217
URUGUAY;Z218
VENEZUELA;Z220
VIETNAM;Z221
ZAMBIA;Z222
ZIMBABWE;Z223
